team_id,team_name,side,n,raw_with,raw_without,delta_raw,shrunk_with,shrunk_without,delta_shrunk
51,Mallorca,away,14,-1.1864,-0.8036,0.3828,-0.8742,-0.5922,0.282
51,Mallorca,home,16,-0.2111,-0.4782,-0.2671,-0.1608,-0.3644,-0.2036
52,Real Madrid,away,14,-1.2991,-1.5814,-0.2823,-0.9572,-1.1653,-0.2081
52,Real Madrid,home,15,-0.8098,-1.1424,-0.3326,-0.6073,-0.8568,-0.2495
53,Athletic Club,away,13,4.7615,2.8487,-1.9128,3.4389,2.0574,-1.3815
53,Athletic Club,home,15,0.5963,0.3646,-0.2317,0.4472,0.2734,-0.1738
54,Real Betis,away,15,-1.8614,-1.1046,0.7568,-1.396,-0.8285,0.5675
54,Real Betis,home,14,-3.3348,-2.4113,0.9235,-2.4572,-1.7768,0.6804
55,Valencia,away,14,1.3453,0.717,-0.6283,0.9913,0.5283,-0.463
55,Valencia,home,15,1.4341,0.1873,-1.2468,1.0756,0.1405,-0.9351
60,Deportivo Alaves,away,16,-1.7662,-2.3092,-0.543,-1.3457,-1.7594,-0.4137
60,Deportivo Alaves,home,14,1.0532,0.7535,-0.2997,0.7761,0.5552,-0.2209
61,Real Oviedo,away,15,-0.4464,0.1931,0.6395,-0.3348,0.1448,0.4796
61,Real Oviedo,home,13,-0.4355,-0.3673,0.0682,-0.3145,-0.2653,0.0492
62,Celta Vigo,away,14,-0.48,-1.6078,-1.1278,-0.3537,-1.1847,-0.831
62,Celta Vigo,home,15,2.0109,0.62,-1.3909,1.5082,0.465,-1.0432
63,Atletico,away,15,-0.0764,-0.5823,-0.5059,-0.0573,-0.4367,-0.3794
63,Atletico,home,14,0.9348,1.4992,0.5644,0.6888,1.1046,0.4158
64,Rayo Vallecano,away,14,0.3589,0.8625,0.5036,0.2644,0.6355,0.3711
64,Rayo Vallecano,home,15,1.1841,0.5316,-0.6525,0.888,0.3987,-0.4893
65,Barcelona,away,14,-0.4506,-1.5796,-1.129,-0.3321,-1.1639,-0.8318
65,Barcelona,home,15,0.2016,0.1764,-0.0252,0.1512,0.1323,-0.0189
67,Sevilla,away,15,-0.0404,0.6583,0.6987,-0.0303,0.4937,0.524
67,Sevilla,home,16,-0.2693,-0.0672,0.2021,-0.2051,-0.0512,0.1539
68,Real Sociedad,away,14,1.1509,0.7174,-0.4335,0.848,0.5286,-0.3194
68,Real Sociedad,home,15,-0.4893,-0.9898,-0.5005,-0.367,-0.7424,-0.3754
70,Espanyol,away,15,0.7284,-0.1557,-0.8841,0.5463,-0.1167,-0.663
70,Espanyol,home,15,1.7429,0.8169,-0.926,1.3072,0.6126,-0.6946
131,Osasuna,away,14,-2.3168,-2.7592,-0.4424,-1.7071,-2.0331,-0.326
131,Osasuna,home,15,0.6595,0.6952,0.0357,0.4946,0.5214,0.0268
819,Getafe,away,16,1.8207,2.2175,0.3968,1.3872,1.6895,0.3023
819,Getafe,home,13,0.4746,1.9663,1.4917,0.3427,1.4201,1.0774
832,Levante,away,15,-0.7387,-1.4052,-0.6665,-0.554,-1.0539,-0.4999
832,Levante,home,14,0.2573,-0.7341,-0.9914,0.1896,-0.5409,-0.7305
833,Elche,away,15,1.4614,0.1193,-1.3421,1.096,0.0895,-1.0065
833,Elche,home,15,-0.5894,-2.0959,-1.5065,-0.442,-1.5719,-1.1299
839,Villarreal,away,16,1.0089,0.6344,-0.3745,0.7687,0.4834,-0.2853
839,Villarreal,home,13,1.6898,0.0298,-1.66,1.2204,0.0215,-1.1989
2783,Girona,away,14,-0.9662,-1.9506,-0.9844,-0.7119,-1.4373,-0.7254
2783,Girona,home,15,-1.7114,-2.0309,-0.3195,-1.2836,-1.5232,-0.2396
