match,side,line,odds,pred_mean,p_poisson,p_negbin,edge_poisson,edge_negbin,delta_edge
Barcelona vs Celta Vigo,over,32.000000,1.300000,32.593488,0.494842,0.368892,-0.210374,-0.336323,-0.125950
Barcelona vs Celta Vigo,over,32.500000,1.360000,32.593488,0.494842,0.368892,-0.176656,-0.302605,-0.125950
Barcelona vs Celta Vigo,over,33.000000,1.400000,32.593488,0.425745,0.357911,-0.228576,-0.296410,-0.067834
Barcelona vs Celta Vigo,over,33.500000,1.470000,32.593488,0.425745,0.357911,-0.196363,-0.264197,-0.067834
Barcelona vs Celta Vigo,over,34.000000,1.520000,32.593488,0.359506,0.347257,-0.242588,-0.254837,-0.012249
Barcelona vs Celta Vigo,over,34.500000,1.620000,32.593488,0.359506,0.347257,-0.211923,-0.224172,-0.012249
Barcelona vs Celta Vigo,over,35.000000,1.690000,32.593488,0.297822,0.336920,-0.250307,-0.211208,0.039098
Barcelona vs Celta Vigo,over,35.500000,1.780000,32.593488,0.297822,0.336920,-0.221097,-0.181999,0.039098
Barcelona vs Celta Vigo,over,36.000000,1.880000,32.593488,0.241974,0.326891,-0.249918,-0.165001,0.084916
Barcelona vs Celta Vigo,over,36.500000,1.980000,32.593488,0.241974,0.326891,-0.224333,-0.139417,0.084916
Barcelona vs Celta Vigo,over,37.000000,2.120000,32.593488,0.192778,0.317160,-0.243392,-0.119010,0.124382
Barcelona vs Celta Vigo,over,37.500000,2.230000,32.593488,0.192778,0.317160,-0.221920,-0.097538,0.124382
Barcelona vs Celta Vigo,over,38.000000,2.380000,32.593488,0.150581,0.307719,-0.234432,-0.077294,0.157138
Barcelona vs Celta Vigo,over,38.500000,2.500000,32.593488,0.150581,0.307719,-0.216507,-0.059370,0.157138
Barcelona vs Celta Vigo,over,39.000000,2.720000,32.593488,0.115316,0.298559,-0.221269,-0.038027,0.183243
Barcelona vs Celta Vigo,over,39.500000,2.850000,32.593488,0.115316,0.298559,-0.206113,-0.022870,0.183243
Barcelona vs Celta Vigo,over,40.000000,3.150000,32.593488,0.086581,0.289671,-0.203960,-0.000869,0.203091
Barcelona vs Celta Vigo,under,32.000000,3.110000,32.593488,0.505158,0.631108,0.210374,0.336323,0.125950
Barcelona vs Celta Vigo,under,32.500000,2.780000,32.593488,0.505158,0.631108,0.176656,0.302605,0.125950
Barcelona vs Celta Vigo,under,33.000000,2.650000,32.593488,0.574255,0.642089,0.228576,0.296410,0.067834
Barcelona vs Celta Vigo,under,33.500000,2.420000,32.593488,0.574255,0.642089,0.196363,0.264197,0.067834
Barcelona vs Celta Vigo,under,34.000000,2.300000,32.593488,0.640494,0.652743,0.242588,0.254837,0.012249
Barcelona vs Celta Vigo,under,34.500000,2.160000,32.593488,0.640494,0.652743,0.211923,0.224172,0.012249
Barcelona vs Celta Vigo,under,35.000000,2.050000,32.593488,0.702178,0.663080,0.250307,0.211208,-0.039098
Barcelona vs Celta Vigo,under,35.500000,1.920000,32.593488,0.702178,0.663080,0.221097,0.181999,-0.039098
Barcelona vs Celta Vigo,under,36.000000,1.820000,32.593488,0.758026,0.673109,0.249918,0.165001,-0.084916
Barcelona vs Celta Vigo,under,36.500000,1.730000,32.593488,0.758026,0.673109,0.224333,0.139417,-0.084916
Barcelona vs Celta Vigo,under,37.000000,1.640000,32.593488,0.807222,0.682840,0.243392,0.119010,-0.124382
Barcelona vs Celta Vigo,under,37.500000,1.580000,32.593488,0.807222,0.682840,0.221920,0.097538,-0.124382
Barcelona vs Celta Vigo,under,38.000000,1.490000,32.593488,0.849419,0.692281,0.234432,0.077294,-0.157138
Barcelona vs Celta Vigo,under,38.500000,1.450000,32.593488,0.849419,0.692281,0.216507,0.059370,-0.157138
Barcelona vs Celta Vigo,under,39.000000,1.380000,32.593488,0.884684,0.701441,0.221269,0.038027,-0.183243
Barcelona vs Celta Vigo,under,39.500000,1.350000,32.593488,0.884684,0.701441,0.206113,0.022870,-0.183243
Barcelona vs Celta Vigo,under,40.000000,1.290000,32.593488,0.913419,0.710329,0.203960,0.000869,-0.203091
Elche vs Atlético Madrid,over,28.500000,1.290000,37.963407,0.942832,0.470478,0.231422,-0.240931,-0.472354
Elche vs Atlético Madrid,over,29.000000,1.310000,37.963407,0.919510,0.458403,0.222051,-0.239056,-0.461107
Elche vs Atlético Madrid,over,29.500000,1.380000,37.963407,0.919510,0.458403,0.257746,-0.203361,-0.461107
Elche vs Atlético Madrid,over,30.000000,1.420000,37.963407,0.889999,0.446638,0.245888,-0.197472,-0.443360
Elche vs Atlético Madrid,over,30.500000,1.500000,37.963407,0.889999,0.446638,0.280624,-0.162737,-0.443360
Elche vs Atlético Madrid,over,31.000000,1.570000,37.963407,0.853858,0.435175,0.264852,-0.153830,-0.418682
Elche vs Atlético Madrid,over,31.500000,1.660000,37.963407,0.853858,0.435175,0.297708,-0.120974,-0.418682
Elche vs Atlético Madrid,over,32.000000,1.750000,37.963407,0.810981,0.424006,0.281411,-0.105563,-0.386975
Elche vs Atlético Madrid,over,32.500000,1.850000,37.963407,0.810981,0.424006,0.310981,-0.075994,-0.386975
Elche vs Atlético Madrid,over,33.000000,1.960000,37.963407,0.761656,0.413124,0.289958,-0.058574,-0.348532
Elche vs Atlético Madrid,over,33.500000,2.080000,37.963407,0.761656,0.413124,0.316323,-0.032209,-0.348532
Elche vs Atlético Madrid,over,34.000000,2.240000,37.963407,0.706582,0.402521,0.292969,-0.011091,-0.304060
Elche vs Atlético Madrid,over,34.500000,2.330000,37.963407,0.706582,0.402521,0.313352,0.009292,-0.304060
Elche vs Atlético Madrid,over,35.000000,2.530000,37.963407,0.646844,0.392191,0.285732,0.031080,-0.254653
Elche vs Atlético Madrid,over,35.500000,2.670000,37.963407,0.646844,0.392191,0.304479,0.049826,-0.254653
Elche vs Atlético Madrid,over,36.000000,2.930000,37.963407,0.583848,0.382125,0.271641,0.069918,-0.201723
Elche vs Atlético Madrid,over,36.500000,3.070000,37.963407,0.583848,0.382125,0.286365,0.084642,-0.201723
Elche vs Atlético Madrid,under,28.500000,3.180000,37.963407,0.057168,0.529522,-0.231422,0.240931,0.472354
Elche vs Atlético Madrid,under,29.000000,3.020000,37.963407,0.080490,0.541597,-0.222051,0.239056,0.461107
Elche vs Atlético Madrid,under,29.500000,2.700000,37.963407,0.080490,0.541597,-0.257746,0.203361,0.461107
Elche vs Atlético Madrid,under,30.000000,2.570000,37.963407,0.110001,0.553362,-0.245888,0.197472,0.443360
Elche vs Atlético Madrid,under,30.500000,2.340000,37.963407,0.110001,0.553362,-0.280624,0.162737,0.443360
Elche vs Atlético Madrid,under,31.000000,2.250000,37.963407,0.146142,0.564825,-0.264852,0.153830,0.418682
Elche vs Atlético Madrid,under,31.500000,2.080000,37.963407,0.146142,0.564825,-0.297708,0.120974,0.418682
Elche vs Atlético Madrid,under,32.000000,1.970000,37.963407,0.189019,0.575994,-0.281411,0.105563,0.386975
Elche vs Atlético Madrid,under,32.500000,1.850000,37.963407,0.189019,0.575994,-0.310981,0.075994,0.386975
Elche vs Atlético Madrid,under,33.000000,1.750000,37.963407,0.238344,0.586876,-0.289958,0.058574,0.348532
Elche vs Atlético Madrid,under,33.500000,1.670000,37.963407,0.238344,0.586876,-0.316323,0.032209,0.348532
Elche vs Atlético Madrid,under,34.000000,1.580000,37.963407,0.293418,0.597479,-0.292969,0.011091,0.304060
