feature,importance_gain,importance_split
std_y,2898.053342103958,71
opp_rolling10_aerials_total,443.84120178222656,13
opp_std_y,357.16295289993286,13
opp_std_long_balls,330.05047130584717,9
opp_ewma_alpha03_aerials_total,290.21289825439453,7
opp_std_aerials_total,263.34792709350586,8
std_throw_ins_total,263.1276230812073,16
rolling10_throw_ins_total,248.90700340270996,8
opp_ewma_alpha05_possession_pct,181.50781917572021,16
capacity,147.99140977859497,14
opp_rolling10_balltouch_wide,125.96062088012695,11
rolling5_throw_ins_total,97.41901016235352,7
opp_rolling5_avg_pass_length,92.15057229995728,4
opp_ewma_alpha03_heads,91.88256072998047,6
opp_ewma_alpha05_passes_total,89.87095069885254,7
std_heads,87.13619899749756,5
is_home,84.69209146499634,9
std_wide_ratio,52.44785976409912,7
opp_ewma_alpha03_throw_ins_total,42.321030139923096,6
ewma_alpha03_balltouch_wide,36.359100341796875,3
opp_ewma_alpha05_heads,32.297980308532715,3
rolling5_passes_total,29.271920680999756,3
std_fouls_committed,29.006600379943848,2
opp_rolling5_throw_ins_total,25.556690216064453,4
std_long_balls,20.53146982192993,2
opp_rolling3_wide_ratio,18.99569058418274,3
wind_speed_10m,18.35713005065918,3
opp_rolling10_crosses,10.594970226287842,2
days_since_last_match,10.074810028076172,2
opp_ewma_alpha05_avg_zone_x,8.0556001663208,1
opp_ewma_alpha05_fouls_committed,5.61007022857666,1
rolling5_wide_ratio,4.044290065765381,1
std_avg_pass_length,0.0,0
ewma_alpha05_crosses,0.0,0
opp_rolling3_aerials_total,0.0,0
std_aerials_total,0.0,0
ref_rolling5_throw_ins,0.0,0
