feature,importance_gain,importance_split
home_rolling10_aerials_total,905.9016411304474,28
home_std_throw_ins_total,468.54685974121094,61
home_opp_rolling5_aerials_total,461.73461735248566,26
capacity,454.12230026721954,59
away_opp_rolling10_aerials_total,435.0082640647888,15
temperature_2m,383.7340809106827,67
home_opp_rolling10_aerials_total,366.8897339105606,25
wind_speed_10m,364.89846873283386,79
home_opp_rolling10_throw_ins_total,357.7859306335449,42
away_rolling10_aerials_total,348.00837659835815,19
home_std_aerials_total,333.737731218338,35
home_opp_ewma_alpha03_aerials_total,319.56987977027893,12
home_opp_std_aerials_total,314.52129006385803,39
home_opp_std_throw_ins_total,313.4279291629791,56
home_rolling5_possession_pct,275.66812014579773,23
home_rolling10_throw_ins_total,232.4494707584381,25
away_rolling5_aerials_total,228.3270627260208,15
home_ewma_alpha03_aerials_total,223.92967426776886,18
matchday_number,186.48292076587677,48
away_opp_std_aerials_total,183.32745265960693,12
away_std_aerials_total,171.39115142822266,16
ref_rolling5_throw_ins,165.7975890636444,37
home_ewma_alpha05_fouls_committed,165.30265069007874,41
ref_ewma_throw_ins,159.758970618248,39
ref_matches_count,157.54143011569977,36
home_rolling5_passes_total,150.24856042861938,23
home_std_corners_total,143.28765106201172,28
away_opp_std_throw_ins_total,142.96161007881165,16
home_opp_rolling10_passes_total,140.73230957984924,19
home_std_possession_pct,139.28007006645203,26
home_ewma_alpha05_possession_pct,137.76448094844818,23
home_std_fouls_committed,136.52412128448486,16
home_std_passes_total,135.24799871444702,17
home_ewma_alpha05_throw_ins_total,128.0021800994873,27
home_opp_std_corners_total,126.05253720283508,34
home_opp_rolling5_passes_total,124.8149802684784,19
home_opp_ewma_alpha05_aerials_total,123.95417022705078,27
home_opp_ewma_alpha05_corners_total,122.02842998504639,30
away_opp_std_passes_total,121.790860414505,10
home_ewma_alpha03_fouls_committed,118.38867044448853,24
home_opp_ewma_alpha05_passes_total,113.24721002578735,19
away_opp_std_fouls_committed,110.15854001045227,15
home_rolling10_passes_total,107.84536957740784,19
home_opp_ewma_alpha05_fouls_committed,104.32555973529816,26
away_std_throw_ins_total,103.40931153297424,16
home_ewma_alpha05_corners_total,98.81450963020325,25
away_rolling10_throw_ins_total,98.79998970031738,16
home_ewma_alpha03_throw_ins_total,98.31558012962341,17
away_opp_rolling5_passes_total,95.44382119178772,15
home_opp_rolling3_possession_pct,94.65111947059631,15
home_opp_rolling5_fouls_committed,94.60063004493713,22
home_ewma_alpha05_passes_total,92.4864113330841,14
away_opp_ewma_alpha03_aerials_total,91.92435789108276,5
home_opp_ewma_alpha03_corners_total,91.25718080997467,21
home_rolling10_fouls_committed,89.38372945785522,14
referee_id,87.24843955039978,28
home_opp_std_possession_pct,85.96623980998993,23
home_ewma_alpha05_aerials_total,85.05287039279938,23
away_opp_rolling5_possession_pct,84.8439998626709,3
home_rolling3_passes_total,83.4966402053833,16
home_opp_rolling5_throw_ins_total,83.30852031707764,16
home_rolling10_corners_total,81.38520038127899,22
home_rolling3_possession_pct,80.22016978263855,16
home_opp_rolling3_throw_ins_total,78.82470035552979,16
home_opp_ewma_alpha03_throw_ins_total,77.6098598241806,14
home_opp_ewma_alpha05_throw_ins_total,74.38452136516571,18
home_rolling3_aerials_total,73.31016051769257,20
home_rolling5_aerials_total,72.95076036453247,15
home_rolling5_fouls_committed,72.35695970058441,20
home_opp_rolling10_touches_total,71.34625935554504,10
home_opp_rolling5_possession_pct,70.81885981559753,15
home_opp_ewma_alpha03_passes_total,68.77051019668579,5
away_opp_ewma_alpha05_fouls_committed,66.5841588973999,13
home_ewma_alpha03_corners_total,66.29599034786224,16
away_ewma_alpha05_aerials_total,64.94010019302368,12
home_opp_rolling3_aerials_total,62.99003005027771,18
ref_rolling10_throw_ins,62.9222092628479,16
home_opp_rolling10_fouls_committed,61.864689111709595,16
relative_humidity_2m,61.61920988559723,19
away_ewma_alpha05_corners_total,59.165900468826294,11
home_opp_ewma_alpha05_possession_pct,58.49447059631348,11
away_opp_ewma_alpha03_throw_ins_total,55.944419264793396,10
